Model,Craton,biasp,Grade,Q4YN,Category,GPMDB_result#,Plon,Plat,poleA95,FROMAGE,TOAGE,plateid,RlonMin,RlatMin,RecEMin,RecEMinAge,Description
R21,InErr,0.0,A-grade,Q4Y,Aq4,9279,44.1,31.4,15.7,619.0,613.0,302,-82.1,-157.8,7.9,613.0,Egersund dykes
R21,InErr,0.0,B-grade,Q4N,B,NEW,184.4,-19.8,28.3,580.0,561.0,302,76.0,102.9,14.0,567.5,
R21,Baltica,24.4,A-grade,Q4N,A,9536,314.5,50.9,5.3,570.0,560.0,302,-60.3,-160.9,29.7,570.0,Kurgashlya formation
R21,Baltica,30.6,A-grade,Q4Y,Aq4,9537,299.1,42.3,5.3,570.0,560.0,302,-54.1,176.6,35.9,570.0,Bakeevo formation
R21,Baltica,0.3,B-grade,Q4Y,Bq4,9538,186.1,1.7,3.8,570.0,550.0,302,85.9,88.0,4.1,565.0,Basu Formation (“precise” sites)
R21,InErr,0.0,B-grade,Q4N,B,9918,126.7,-17.3,6.0,570.0,544.0,302,87.2,77.9,2.8,552.5,Chernokamenskay group sediments
R21,InErr,0.0,B-grade,Q4N,B,9919,187.3,1.1,5.8,567.0,557.0,302,84.7,94.2,5.3,565.0,Basu-Kukkarauk formation
R21,Baltica,20.3,B-grade,Q4N,B,MEAN,113.0,-31.3,9.9,556.0,555.0,302,59.8,11.9,30.2,555.0,"MEAN Vendian White Sea sediments (3 studies, weighted by specimens)"
R21,Baltica,15.1,B-grade,Q4N,B,9535,138.4,-16.2,4.1,551.0,544.0,302,70.8,150.5,19.2,551.0,Zigan formation clastic rocks
R21,InErr,0.0,B-grade,Q4Y,Bq4,6934–6936,355.3,19.0,17.4,617.0,613.0,101,-79.9,-157.9,10.1,613.0,
R21,Laurentia,27.3,B-grade,Q4N,B,9364,332.7,42.6,12.0,585.0,581.0,101,-50.7,-28.4,39.3,581.0,Baie des Moutons complex—A comp.
R21,Laurentia,58.5,B-grade,Q4N,B,9365,321.5,-34.2,15.4,585.0,581.0,101,16.1,27.6,73.9,585.0,Baie des Moutons complex—B comp.
R21,InErr,0.0,B-grade,Q4Y,Bq4,6458,301.4,46.3,6.0,580.0,570.0,101,-86.0,-79.9,4.0,573.5,Callander Alkaline Complex
R21,InErr,0.0,B-grade,Q4Y,Bq4,7474,296.7,42.0,17.5,577.0,567.0,101,-87.8,40.4,2.2,573.5,Catoctin Basalts—A comp.
R21,Laurentia,0.4,B-grade,Q4Y,Bq4,1752,321.0,-20.0,6.7,569.0,561.0,101,-82.9,100.8,7.1,565.5,Sept-Iles Layered Intrusion—A comp.
R21,Rio,32.6,B-grade,Q4N,B,9520,183.1,-58.8,12.1,610.0,578.0,2203,-45.3,139.6,44.7,590.0,
R21,InErr,0.0,A-grade,Q4Y,Aq4,9519,258.9,-12.2,13.9,583.0,573.0,2203,-78.4,-85.6,11.6,574.0,Sierra de las Animas complex
R21,Congo,2.9,B-grade,Q4N,B,9276,304.8,-61.8,7.6,577.0,565.0,7701,-79.5,-172.5,10.5,577.0,
R21,Congo,68.3,A-grade,Q4N,A,8126,319.0,-29.0,3.9,551.0,543.0,7701,-17.8,-142.8,72.2,551.0,Sinyai Metadolerite
R21,InErr,0.0,B-grade,Q4Y,Bq4,9903,295.6,-57.6,15.7,577.0,564.0,7703,-76.5,-156.8,13.5,577.0,
R21,InErr,0.0,B-grade,Q4Y,Bq4,9901,31.0,21.9,15.6,572.0,551.0,7703,-75.1,53.6,14.9,551.0,"Tadoughast and Fajjoud Formations, upper Ouarzazate Group—pole B1"
R21,InErr,0.0,B-grade,Q4Y,Bq4,9902,27.1,27.3,14.9,547.0,526.0,7703,-76.6,34.2,13.4,540.0,Djebel Boho—pole B2
M21,InErr,0.0,A-grade,Q4Y,Aq4,9279,44.1,31.4,15.7,619.0,613.0,302,-83.3,-154.8,6.7,613.0,Egersund dykes
M21,InErr,0.0,B-grade,Q4N,B,NEW,184.4,-19.8,28.3,580.0,561.0,302,73.2,176.4,16.8,580.0,
M21,Baltica,13.6,A-grade,Q4N,A,9536,314.5,50.9,5.3,570.0,560.0,302,-71.1,-124.4,18.9,566.5,Kurgashlya formation
M21,Baltica,4.6,A-grade,Q4Y,Aq4,9537,299.1,42.3,5.3,570.0,560.0,302,-80.1,-127.3,9.9,561.5,Bakeevo formation
M21,Baltica,49.2,B-grade,Q4Y,Bq4,9538,186.1,1.7,3.8,570.0,550.0,302,37.0,172.9,53.0,570.0,Basu Formation (“precise” sites)
M21,Baltica,2.6,B-grade,Q4N,B,9918,126.7,-17.3,6.0,570.0,544.0,302,81.4,-89.2,8.6,549.5,Chernokamenskay group sediments
M21,Baltica,54.0,B-grade,Q4N,B,9919,187.3,1.1,5.8,567.0,557.0,302,30.2,165.6,59.8,567.0,Basu-Kukkarauk formation
M21,InErr,0.0,B-grade,Q4N,B,MEAN,113.0,-31.3,9.9,556.0,555.0,302,83.0,-12.6,7.0,556.0,"MEAN Vendian White Sea sediments (3 studies, weighted by specimens)"
M21,Baltica,2.5,B-grade,Q4N,B,9535,138.4,-16.2,4.1,551.0,544.0,302,83.4,-104.5,6.6,544.0,Zigan formation clastic rocks
M21,InErr,0.0,B-grade,Q4Y,Bq4,6934–6936,355.3,19.0,17.4,617.0,613.0,101,-80.5,-82.3,9.5,615.0,
M21,Laurentia,19.6,B-grade,Q4N,B,9364,332.7,42.6,12.0,585.0,581.0,101,-58.4,-131.1,31.6,585.0,Baie des Moutons complex—A comp.
M21,Laurentia,30.5,B-grade,Q4N,B,9365,321.5,-34.2,15.4,585.0,581.0,101,-44.1,77.4,45.9,581.0,Baie des Moutons complex—B comp.
M21,Laurentia,43.3,B-grade,Q4Y,Bq4,6458,301.4,46.3,6.0,580.0,570.0,101,-40.7,-155.1,49.3,580.0,Callander Alkaline Complex
M21,Laurentia,33.3,B-grade,Q4Y,Bq4,7474,296.7,42.0,17.5,577.0,567.0,101,-39.2,-161.0,50.8,577.0,Catoctin Basalts—A comp.
M21,Laurentia,13.4,B-grade,Q4Y,Bq4,1752,321.0,-20.0,6.7,569.0,561.0,101,-69.9,95.2,20.1,561.0,Sept-Iles Layered Intrusion—A comp.
M21,Rio,63.3,B-grade,Q4N,B,9520,183.1,-58.8,12.1,610.0,578.0,22041,14.6,-129.9,75.4,578.0,
M21,Rio,12.7,A-grade,Q4Y,Aq4,9519,258.9,-12.2,13.9,583.0,573.0,22041,-63.4,-144.1,26.6,583.0,Sierra de las Animas complex
M21,Congo,61.5,B-grade,Q4N,B,9276,304.8,-61.8,7.6,577.0,565.0,701,-20.9,-163.1,69.1,577.0,
M21,Congo,51.4,A-grade,Q4N,A,8126,319.0,-29.0,3.9,551.0,543.0,701,-34.7,-140.6,55.3,543.0,Sinyai Metadolerite
M21,W.Africa,55.7,B-grade,Q4Y,Bq4,9903,295.6,-57.6,15.7,577.0,564.0,714,-18.6,-160.9,71.4,577.0,
M21,W.Africa,12.0,B-grade,Q4Y,Bq4,9901,31.0,21.9,15.6,572.0,551.0,714,-62.4,56.3,27.6,560.0,"Tadoughast and Fajjoud Formations, upper Ouarzazate Group—pole B1"
M21,W.Africa,10.5,B-grade,Q4Y,Bq4,9902,27.1,27.3,14.9,547.0,526.0,714,-64.6,61.2,25.4,526.0,Djebel Boho—pole B2
M17,InErr,0.0,A-grade,Q4Y,Aq4,9279,44.1,31.4,15.7,619.0,613.0,3001,-83.0,-147.0,7.0,614.0,Egersund dykes
M17,InErr,0.0,B-grade,Q4N,B,NEW,184.4,-19.8,28.3,580.0,561.0,3001,74.0,161.4,16.0,580.0,
M17,Baltica,13.7,A-grade,Q4N,A,9536,314.5,50.9,5.3,570.0,560.0,3001,-71.0,-128.1,19.0,560.0,Kurgashlya formation
M17,Baltica,10.2,A-grade,Q4Y,Aq4,9537,299.1,42.3,5.3,570.0,560.0,3001,-74.5,-173.7,15.5,560.0,Bakeevo formation
M17,Baltica,42.1,B-grade,Q4Y,Bq4,9538,186.1,1.7,3.8,570.0,550.0,3001,44.1,174.7,45.9,570.0,Basu Formation (“precise” sites)
M17,Baltica,3.4,B-grade,Q4N,B,9918,126.7,-17.3,6.0,570.0,544.0,3001,80.6,-116.5,9.4,544.0,Chernokamenskay group sediments
M17,Baltica,44.6,B-grade,Q4N,B,9919,187.3,1.1,5.8,567.0,557.0,3001,39.6,169.3,50.4,567.0,Basu-Kukkarauk formation
M17,InErr,0.0,B-grade,Q4N,B,MEAN,113.0,-31.3,9.9,556.0,555.0,3001,80.3,-40.9,9.7,555.0,"MEAN Vendian White Sea sediments (3 studies, weighted by specimens)"
M17,Baltica,11.1,B-grade,Q4N,B,9535,138.4,-16.2,4.1,551.0,544.0,3001,74.8,-164.5,15.2,544.0,Zigan formation clastic rocks
M17,InErr,0.0,B-grade,Q4Y,Bq4,6934–6936,355.3,19.0,17.4,617.0,613.0,1001,-80.5,-82.3,9.5,615.0,
M17,Laurentia,19.6,B-grade,Q4N,B,9364,332.7,42.6,12.0,585.0,581.0,1001,-58.4,-131.1,31.6,585.0,Baie des Moutons complex—A comp.
M17,Laurentia,30.5,B-grade,Q4N,B,9365,321.5,-34.2,15.4,585.0,581.0,1001,-44.1,77.4,45.9,581.0,Baie des Moutons complex—B comp.
M17,Laurentia,43.3,B-grade,Q4Y,Bq4,6458,301.4,46.3,6.0,580.0,570.0,1001,-40.7,-155.1,49.3,580.0,Callander Alkaline Complex
M17,Laurentia,33.3,B-grade,Q4Y,Bq4,7474,296.7,42.0,17.5,577.0,567.0,1001,-39.2,-161.0,50.8,577.0,Catoctin Basalts—A comp.
M17,Laurentia,13.4,B-grade,Q4Y,Bq4,1752,321.0,-20.0,6.7,569.0,561.0,1001,-69.9,95.2,20.1,561.0,Sept-Iles Layered Intrusion—A comp.
M17,Rio,72.3,B-grade,Q4N,B,9520,183.1,-58.8,12.1,610.0,578.0,2203,5.6,-122.0,84.4,578.0,
M17,Rio,8.3,A-grade,Q4Y,Aq4,9519,258.9,-12.2,13.9,583.0,573.0,2203,-67.8,-145.7,22.2,583.0,Sierra de las Animas complex
M17,Congo,52.8,B-grade,Q4N,B,9276,304.8,-61.8,7.6,577.0,565.0,7701,-29.6,-158.0,60.4,577.0,
M17,Congo,36.3,A-grade,Q4N,A,8126,319.0,-29.0,3.9,551.0,543.0,7701,-49.8,-136.0,40.2,551.0,Sinyai Metadolerite
M17,W.Africa,69.6,B-grade,Q4Y,Bq4,9903,295.6,-57.6,15.7,577.0,564.0,7703,-4.7,-144.9,85.3,564.0,
M17,W.Africa,27.1,B-grade,Q4Y,Bq4,9901,31.0,21.9,15.6,572.0,551.0,7703,-47.3,91.5,42.7,572.0,"Tadoughast and Fajjoud Formations, upper Ouarzazate Group—pole B1"
M17,W.Africa,27.2,B-grade,Q4Y,Bq4,9902,27.1,27.3,14.9,547.0,526.0,7703,-47.9,82.0,42.1,526.0,Djebel Boho—pole B2
S21,InErr,0.0,A-grade,Q4Y,Aq4,9279,44.1,31.4,15.7,619.0,613.0,301,-78.1,157.8,11.9,613.0,Egersund dykes
S21,Baltica,4.3,B-grade,Q4N,B,NEW,184.4,-19.8,28.3,580.0,561.0,301,57.4,87.5,32.6,580.0,
S21,Baltica,57.2,A-grade,Q4N,A,9536,314.5,50.9,5.3,570.0,560.0,301,-27.5,-28.4,62.5,570.0,Kurgashlya formation
S21,Baltica,70.6,A-grade,Q4Y,Aq4,9537,299.1,42.3,5.3,570.0,560.0,301,-14.1,-30.7,75.9,570.0,Bakeevo formation
S21,Baltica,47.4,B-grade,Q4Y,Bq4,9538,186.1,1.7,3.8,570.0,550.0,301,38.8,68.2,51.2,570.0,Basu Formation (“precise” sites)
S21,Baltica,75.3,B-grade,Q4N,B,9918,126.7,-17.3,6.0,570.0,544.0,301,-8.7,132.1,81.3,544.0,Chernokamenskay group sediments
S21,Baltica,45.4,B-grade,Q4N,B,9919,187.3,1.1,5.8,567.0,557.0,301,38.8,69.1,51.2,567.0,Basu-Kukkarauk formation
S21,Baltica,77.0,B-grade,Q4N,B,MEAN,113.0,-31.3,9.9,556.0,555.0,301,-3.1,147.6,86.9,555.0,"MEAN Vendian White Sea sediments (3 studies, weighted by specimens)"
S21,Baltica,82.8,B-grade,Q4N,B,9535,138.4,-16.2,4.1,551.0,544.0,301,3.1,122.3,86.9,551.0,Zigan formation clastic rocks
S21,Laurentia,24.8,B-grade,Q4Y,Bq4,6934–6936,355.3,19.0,17.4,617.0,613.0,101,-47.8,64.4,42.2,617.0,
S21,Laurentia,5.6,B-grade,Q4N,B,9364,332.7,42.6,12.0,585.0,581.0,101,-72.4,63.8,17.6,581.0,Baie des Moutons complex—A comp.
S21,Laurentia,69.4,B-grade,Q4N,B,9365,321.5,-34.2,15.4,585.0,581.0,101,-5.2,128.2,84.8,581.0,Baie des Moutons complex—B comp.
S21,Laurentia,0.3,B-grade,Q4Y,Bq4,6458,301.4,46.3,6.0,580.0,570.0,101,-83.7,-161.1,6.3,580.0,Callander Alkaline Complex
S21,InErr,0.0,B-grade,Q4Y,Bq4,7474,296.7,42.0,17.5,577.0,567.0,101,-78.0,-156.5,12.0,577.0,Catoctin Basalts—A comp.
S21,Laurentia,51.2,B-grade,Q4Y,Bq4,1752,321.0,-20.0,6.7,569.0,561.0,101,-32.1,134.6,57.9,561.0,Sept-Iles Layered Intrusion—A comp.
S21,Rio,70.7,B-grade,Q4N,B,9520,183.1,-58.8,12.1,610.0,578.0,202,7.2,-110.4,82.8,578.0,
S21,Rio,12.1,A-grade,Q4Y,Aq4,9519,258.9,-12.2,13.9,583.0,573.0,202,-64.0,-89.2,26.0,583.0,Sierra de las Animas complex
S21,Congo,43.2,B-grade,Q4N,B,9276,304.8,-61.8,7.6,577.0,565.0,701,-39.2,-91.2,50.8,577.0,
S21,Congo,22.8,A-grade,Q4N,A,8126,319.0,-29.0,3.9,551.0,543.0,701,-63.3,-75.0,26.7,551.0,Sinyai Metadolerite
S21,W.Africa,37.1,B-grade,Q4Y,Bq4,9903,295.6,-57.6,15.7,577.0,564.0,714,-37.2,-89.8,52.8,577.0,
S21,W.Africa,49.0,B-grade,Q4Y,Bq4,9901,31.0,21.9,15.6,572.0,551.0,714,-25.4,140.0,64.6,551.0,"Tadoughast and Fajjoud Formations, upper Ouarzazate Group—pole B1"
S21,W.Africa,40.3,B-grade,Q4Y,Bq4,9902,27.1,27.3,14.9,547.0,526.0,714,-34.8,139.8,55.2,526.0,Djebel Boho—pole B2
L08,InErr,0.0,A-grade,Q4Y,Aq4,9279,44.1,31.4,15.7,619.0,613.0,302,-84.5,-85.6,5.5,613.0,Egersund dykes
L08,InErr,0.0,B-grade,Q4N,B,NEW,184.4,-19.8,28.3,580.0,561.0,302,66.2,-90.1,23.8,580.0,
L08,Baltica,40.6,A-grade,Q4N,A,9536,314.5,50.9,5.3,570.0,560.0,302,-44.1,17.1,45.9,570.0,Kurgashlya formation
L08,Baltica,33.3,A-grade,Q4Y,Aq4,9537,299.1,42.3,5.3,570.0,560.0,302,-51.4,16.3,38.6,560.0,Bakeevo formation
L08,Baltica,41.2,B-grade,Q4Y,Bq4,9538,186.1,1.7,3.8,570.0,550.0,302,45.0,-58.8,45.0,570.0,Basu Formation (“precise” sites)
L08,Baltica,2.3,B-grade,Q4N,B,9918,126.7,-17.3,6.0,570.0,544.0,302,81.7,-164.5,8.3,549.0,Chernokamenskay group sediments
L08,Baltica,45.4,B-grade,Q4N,B,9919,187.3,1.1,5.8,567.0,557.0,302,38.8,-61.7,51.2,567.0,Basu-Kukkarauk formation
L08,Baltica,14.9,B-grade,Q4N,B,MEAN,113.0,-31.3,9.9,556.0,555.0,302,65.2,-171.8,24.8,555.0,"MEAN Vendian White Sea sediments (3 studies, weighted by specimens)"
L08,Baltica,3.2,B-grade,Q4N,B,9535,138.4,-16.2,4.1,551.0,544.0,302,82.7,-115.2,7.3,544.0,Zigan formation clastic rocks
L08,InErr,0.0,B-grade,Q4Y,Bq4,6934–6936,355.3,19.0,17.4,617.0,613.0,199,-88.6,119.5,1.4,615.0,
L08,Laurentia,33.9,B-grade,Q4N,B,9364,332.7,42.6,12.0,585.0,581.0,199,-44.1,11.3,45.9,585.0,Baie des Moutons complex—A comp.
L08,Laurentia,13.6,B-grade,Q4N,B,9365,321.5,-34.2,15.4,585.0,581.0,199,-61.0,-151.4,29.0,581.0,Baie des Moutons complex—B comp.
L08,Laurentia,53.4,B-grade,Q4Y,Bq4,6458,301.4,46.3,6.0,580.0,570.0,199,-30.6,-10.3,59.4,580.0,Callander Alkaline Complex
L08,Laurentia,41.8,B-grade,Q4Y,Bq4,7474,296.7,42.0,17.5,577.0,567.0,199,-30.7,-14.4,59.3,577.0,Catoctin Basalts—A comp.
L08,InErr,0.0,B-grade,Q4Y,Bq4,1752,321.0,-20.0,6.7,569.0,561.0,199,-89.2,162.4,0.8,565.0,Sept-Iles Layered Intrusion—A comp.
L08,Rio,24.2,B-grade,Q4N,B,9520,183.1,-58.8,12.1,610.0,578.0,294,53.7,-31.5,36.3,578.0,
L08,Rio,59.5,A-grade,Q4Y,Aq4,9519,258.9,-12.2,13.9,583.0,573.0,294,-16.6,-1.5,73.4,583.0,Sierra de las Animas complex
L08,Congo,60.8,B-grade,Q4N,B,9276,304.8,-61.8,7.6,577.0,565.0,717,21.6,-1.4,68.4,565.0,
L08,Congo,55.7,A-grade,Q4N,A,8126,319.0,-29.0,3.9,551.0,543.0,717,-30.4,3.4,59.6,543.0,Sinyai Metadolerite
L08,W.Africa,49.9,B-grade,Q4Y,Bq4,9903,295.6,-57.6,15.7,577.0,564.0,714,24.4,-2.7,65.6,565.0,
L08,W.Africa,12.4,B-grade,Q4Y,Bq4,9901,31.0,21.9,15.6,572.0,551.0,714,-62.0,-92.2,28.0,565.0,"Tadoughast and Fajjoud Formations, upper Ouarzazate Group—pole B1"
L08,W.Africa,15.7,B-grade,Q4Y,Bq4,9902,27.1,27.3,14.9,547.0,526.0,714,-59.4,-129.1,30.6,547.0,Djebel Boho—pole B2
TC16,InErr,0.0,A-grade,Q4Y,Aq4,9279,44.1,31.4,15.7,619.0,613.0,302,-86.1,-119.1,3.9,613.0,Egersund dykes
TC16,Baltica,22.4,B-grade,Q4N,B,NEW,184.4,-19.8,28.3,580.0,561.0,302,39.3,65.8,50.7,580.0,
TC16,Baltica,61.9,A-grade,Q4N,A,9536,314.5,50.9,5.3,570.0,560.0,302,-22.8,-74.6,67.2,570.0,Kurgashlya formation
TC16,Baltica,75.2,A-grade,Q4Y,Aq4,9537,299.1,42.3,5.3,570.0,560.0,302,-9.5,-71.8,80.5,570.0,Bakeevo formation
TC16,Baltica,64.9,B-grade,Q4Y,Bq4,9538,186.1,1.7,3.8,570.0,550.0,302,-21.3,49.1,68.7,550.0,Basu Formation (“precise” sites)
TC16,Baltica,66.1,B-grade,Q4N,B,9918,126.7,-17.3,6.0,570.0,544.0,302,-17.9,114.7,72.1,550.0,Chernokamenskay group sediments
TC16,Baltica,70.1,B-grade,Q4N,B,9919,187.3,1.1,5.8,567.0,557.0,302,14.1,33.2,75.9,567.0,Basu-Kukkarauk formation
TC16,Baltica,76.2,B-grade,Q4N,B,MEAN,113.0,-31.3,9.9,556.0,555.0,302,-3.9,119.9,86.1,556.0,"MEAN Vendian White Sea sediments (3 studies, weighted by specimens)"
TC16,Baltica,67.0,B-grade,Q4N,B,9535,138.4,-16.2,4.1,551.0,544.0,302,-18.9,102.9,71.1,550.0,Zigan formation clastic rocks
TC16,Laurentia,31.7,B-grade,Q4Y,Bq4,6934–6936,355.3,19.0,17.4,617.0,613.0,101,-40.9,-15.3,49.1,617.0,
TC16,Laurentia,11.3,B-grade,Q4N,B,9364,332.7,42.6,12.0,585.0,581.0,101,-66.7,-54.5,23.3,581.0,Baie des Moutons complex—A comp.
TC16,Laurentia,58.2,B-grade,Q4N,B,9365,321.5,-34.2,15.4,585.0,581.0,101,-16.4,40.7,73.6,585.0,Baie des Moutons complex—B comp.
TC16,InErr,0.0,B-grade,Q4Y,Bq4,6458,301.4,46.3,6.0,580.0,570.0,101,-87.1,179.7,2.9,570.0,Callander Alkaline Complex
TC16,InErr,0.0,B-grade,Q4Y,Bq4,7474,296.7,42.0,17.5,577.0,567.0,101,-85.3,155.7,4.7,577.0,Catoctin Basalts—A comp.
TC16,Laurentia,31.4,B-grade,Q4Y,Bq4,1752,321.0,-20.0,6.7,569.0,561.0,101,-51.9,50.3,38.1,561.0,Sept-Iles Layered Intrusion—A comp.
TC16,Rio,19.1,B-grade,Q4N,B,9520,183.1,-58.8,12.1,610.0,578.0,202,-58.8,-176.9,31.2,600.5,
TC16,Rio,18.1,A-grade,Q4Y,Aq4,9519,258.9,-12.2,13.9,583.0,573.0,202,-58.0,155.5,32.0,573.0,Sierra de las Animas complex
TC16,Congo,48.9,B-grade,Q4N,B,9276,304.8,-61.8,7.6,577.0,565.0,701,-33.5,140.7,56.5,565.0,
TC16,Congo,18.4,A-grade,Q4N,A,8126,319.0,-29.0,3.9,551.0,543.0,701,-67.7,145.6,22.3,550.0,Sinyai Metadolerite
TC16,W.Africa,41.3,B-grade,Q4Y,Bq4,9903,295.6,-57.6,15.7,577.0,564.0,714,-33.0,145.7,57.0,564.0,
TC16,W.Africa,49.5,B-grade,Q4Y,Bq4,9901,31.0,21.9,15.6,572.0,551.0,714,-24.9,7.9,65.1,572.0,"Tadoughast and Fajjoud Formations, upper Ouarzazate Group—pole B1"
TC16,W.Africa,26.2,B-grade,Q4Y,Bq4,9902,27.1,27.3,14.9,547.0,526.0,714,-48.9,-27.0,41.1,526.0,Djebel Boho—pole B2